#{"t_start": 1715804234.9136808, "env_id": "binance-v0-1d"}
r,l,t
409123.62,276,456.083506
583938.63,276,456.726506
263088.98,276,457.374506
515175.41,276,458.013793
579900.93,276,458.657793
601371.84,276,460.42601
558240.64,276,461.07304
334666.68,276,461.723354
545550.84,276,462.372291
545451.6,276,463.018334
525736.18,276,463.671335
591438.14,276,464.320406
553676.92,276,464.969194
578132.56,276,466.713218
581086.66,276,467.349218
555202.08,276,467.996857
541146.26,276,468.644832
533310.34,276,469.295339
558989.54,276,469.941602
528854.57,276,470.582603
595459.77,276,472.346196
559981.65,276,472.991196
584907.85,276,473.638112
513545.71,276,474.282113
535196.01,276,474.930112
423479.7,276,475.572347
587075.47,276,476.218934
437751.87,276,476.860934
605775.71,276,478.612934
548177.19,276,479.253934
205610.92,276,479.901733
383840.49,276,480.549733
545835.56,276,481.195734
342222.56,276,481.84392
576793.57,276,482.491377
584913.95,276,484.262614
518497.65,276,484.913614
569613.56,276,485.556149
554716.62,276,486.199148
599719.31,276,486.844269
574089.0,276,487.492618
491426.45,276,488.132071
588252.96,276,489.90006
339678.56,276,490.55106
563357.57,276,491.194567
532490.91,276,491.840566
322612.36,276,492.48458
235880.5,276,493.127982
553837.11,276,493.772119
560939.76,276,494.417476
528295.57,276,496.167843
589988.32,276,496.811843
589529.31,276,497.457039
571545.34,276,498.09833
562235.4,276,498.74133
505575.73,276,499.386677
571456.98,276,500.032848
556897.74,276,501.792881
589288.93,276,502.429881
554030.26,276,503.072881
524918.54,276,503.717371
549434.22,276,504.363664
396986.32,276,505.012171
507572.33,276,505.661497
611927.75,276,506.303521
547288.25,276,508.057873
587235.12,276,508.698873
555621.77,276,509.342507
335794.54,276,509.994272
569708.24,276,510.645271
550740.8,276,511.288272
531494.52,276,511.930272
356668.8,276,513.697273
554450.21,276,514.340272
558147.38,276,514.981271
371719.15,276,515.621275
547008.06,276,516.260271
531849.02,276,516.901274
311972.71,276,517.551275
593431.68,276,519.314272
525028.33,276,519.955274
559000.4,276,520.604272
583028.05,276,521.246275
557964.17,276,521.892273
405985.82,276,522.529271
354725.1,276,523.169273
521330.03,276,523.808274
389171.46,276,525.586274
580944.34,276,526.232273
571808.48,276,526.873272
345429.29,276,527.514271
571455.81,276,528.153271
555359.72,276,528.790274
542835.0,276,529.434271
498649.53,276,531.21733
479679.44,276,531.856332
484399.65,276,532.498332
541742.53,276,533.135332
571452.86,276,533.77933
622269.03,276,534.417331
511219.33,276,535.059332
600046.9,276,535.701329
634218.37,276,537.477332
585785.19,276,538.115329
605287.09,276,538.754329
505525.76,276,539.391331
540870.61,276,540.03733
574502.86,276,540.679329
572331.06,276,541.329329
497587.63,276,543.098104
489977.83,276,543.741104
548645.3,276,544.380157
566140.17,276,545.023259
568365.1,276,545.676917
561261.11,276,546.318916
491467.4,276,546.961916
556173.4,276,547.603915
577784.8,276,549.429916
596697.46,276,550.076916
552560.41,276,550.719549
537055.69,276,551.369127
617012.64,276,552.011127
335293.35,276,552.651128
533235.19,276,553.289128
569390.81,276,555.06969
624381.47,276,555.71469
441028.37,276,556.35569
570761.99,276,557.002691
556721.21,276,557.650967
477380.37,276,558.292968
559713.48,276,558.936019
501707.37,276,560.71902
529065.96,276,561.37502
547345.79,276,562.025247
557143.59,276,562.672039
609888.7,276,563.314905
518219.44,276,563.956251
518320.45,276,564.601412
572000.68,276,565.242904
586839.7,276,567.02247
552530.69,276,567.662331
549731.08,276,568.305409
558841.14,276,568.944409
534478.48,276,569.58941
553273.51,276,570.23143
577273.11,276,570.874743
517856.42,276,572.651387
522185.5,276,573.291387
515427.28,276,574.170944
514888.74,276,574.808944
401936.49,276,575.451944
613149.81,276,576.099644
543887.83,276,576.741644
539122.32,276,577.38493
537926.19,276,579.182214
433907.29,276,579.821666
375339.01,276,580.466666
337724.25,276,581.112665
541486.15,276,581.765445
593764.13,276,582.406854
494584.66,276,583.046855
583632.65,276,584.852855
540391.49,276,585.497854
489280.35,276,586.147141
399557.93,276,586.785477
177795.45,276,587.430477
576629.82,276,588.07608
551331.36,276,588.719224
647419.46,276,589.357447
557167.18,276,591.151448
621397.81,276,591.802563
507682.73,276,592.445742
571208.3,276,593.090862
616090.4,276,593.734307
568094.37,276,594.371373
532640.2,276,595.011372
374133.21,276,596.816373
412068.18,276,597.461322
597326.19,276,598.107358
348987.84,276,598.754866
582071.32,276,599.401879
533064.18,276,600.04795
558755.73,276,600.689951
541392.07,276,602.481701
439139.08,276,603.124699
562116.74,276,603.762699
574160.12,276,604.4107
566973.04,276,605.05507
585422.0,276,605.699069
596456.94,276,606.34007
612696.04,276,606.98807
547582.24,276,608.764069
397716.81,276,609.408069
384708.53,276,610.057069
489276.25,276,610.69907
453859.11,276,611.34307
289571.96,276,611.995008
410477.86,276,612.639008
541190.63,276,614.417009
294615.22,276,615.058009
970420.48,276,615.701009
568648.38,276,616.341009
584399.49,276,616.987009
607590.29,276,617.632147
540612.36,276,618.274147
463524.53,276,618.920434
548784.31,276,620.698255
560499.48,276,621.339255
566379.89,276,621.990465
518857.49,276,622.639645
567042.72,276,623.280646
573286.74,276,623.922645
516386.51,276,624.562645
586704.58,276,626.353836
376267.47,276,626.996836
558212.18,276,627.643836
556014.41,276,628.286836
548237.55,276,628.930884
377307.81,276,629.565884
536208.36,276,630.209884
519229.7,276,631.999885
297334.73,276,632.651887
566823.3,276,633.289886
536595.87,276,633.936887
606613.36,276,634.571885
560821.9,276,635.214886
513284.45,276,635.853886
574110.93,276,636.493886
346798.76,276,638.306886
578887.64,276,638.945884
545437.91,276,639.587887
570785.62,276,640.228887
611958.27,276,640.871887
562016.75,276,641.507885
536453.59,276,642.159887
662143.66,276,643.935885
601734.35,276,644.573887
528468.48,276,645.212887
547814.38,276,645.852885
542813.49,276,646.493887
530516.11,276,647.128888
594842.9,276,647.769887
601000.8,276,648.413884
544879.33,276,650.203884
527065.15,276,650.839887
575856.19,276,651.481887
621901.25,276,652.123887
529939.14,276,652.772884
586020.04,276,653.412884
589946.77,276,654.059887
572629.86,276,655.830886
517508.55,276,656.470886
336165.67,276,657.108886
528898.38,276,657.758887
428980.88,276,658.394887
402433.13,276,659.035888
556394.12,276,659.669887
554970.49,276,660.305886
595076.51,276,662.091885
609439.47,276,662.73932
509528.23,276,663.381827
549393.08,276,664.024122
562368.47,276,664.666167
599443.52,276,665.306167
537762.39,276,665.950166
536520.26,276,667.734167
551633.61,276,668.372168
611276.96,276,669.017195
550521.41,276,669.659195
538995.91,276,670.300989
579753.22,276,670.940989
536081.75,276,671.584989
591056.74,276,673.377201
621282.29,276,674.026129
513830.89,276,674.674594
514985.39,276,675.317593
560691.02,276,675.959909
567340.83,276,676.60191
382628.78,276,677.249272
339663.43,276,677.899278
350243.11,276,679.700279
620526.04,276,680.341389
576708.75,276,680.98139
549196.2,276,681.63039
528920.52,276,682.277195
519046.75,276,682.92185
586862.75,276,683.569851
510533.98,276,685.36435
575287.29,276,686.012192
412073.55,276,686.655209
381891.46,276,687.29464
327233.66,276,687.93164
596438.8,276,688.576639
617759.36,276,689.22064
600453.07,276,689.870615
647721.35,276,691.662701
578882.13,276,692.305863
540204.4,276,692.949217
533224.42,276,693.598625
574843.88,276,694.243624
529710.33,276,694.889624
653396.22,276,695.534625
590869.77,276,697.322641
556035.85,276,697.965775
583148.22,276,698.607775
490083.72,276,699.250775
566976.22,276,699.891775
556661.92,276,700.537849
633693.17,276,701.179849
572225.75,276,701.825401
582026.99,276,703.636401
525469.58,276,704.281401
636671.69,276,704.926355
535145.2,276,705.570354
522735.29,276,706.21684
590454.11,276,706.861031
580785.79,276,707.506185
546037.27,276,709.308185
514154.43,276,709.956185
484844.59,276,710.602185
325142.12,276,711.251309
521133.03,276,711.896309
538539.62,276,712.539726
584207.78,276,713.182725
588757.38,276,714.991826
574361.74,276,715.636825
633681.06,276,716.27797
531742.44,276,716.919971
474706.16,276,717.561469
565299.07,276,718.208083
565994.32,276,718.854083
516089.31,276,719.497083
587951.01,276,721.294083
629356.14,276,721.937211
594570.21,276,722.583211
543096.2,276,723.224392
543534.75,276,723.884839
579186.22,276,724.524314
584733.43,276,725.166477
